Level,Method,DensityErr,BIERes,InteriorL2,Iterations,WallSec
Koch1,LU (reference),0.098228,1.6084e-15,8.5661e-05,--,0.1
Koch1,GMRES (no prec),0.000000,8.6466e-11,8.5661e-05,100,0.2
Koch1,GMRES (Calderón),0.000000,1.9656e-11,8.5661e-05,14,0.0
Koch1,A,0.653500,3.8714e-02,1.9967e-02,--,42.6
Koch1,B,0.030938,1.0225e-02,1.1814e-02,--,311.1
Koch1,C,0.114805,1.6849e-01,2.7721e-01,--,259.2
Koch1,D,0.008854,1.2114e-03,1.4236e-03,--,164.1
Koch2,LU (reference),0.098368,3.3078e-15,5.4301e-05,--,3.3
Koch2,GMRES (no prec),0.000000,8.7596e-11,5.4301e-05,153,3.0
Koch2,GMRES (Calderón),0.000000,2.2101e-12,5.4301e-05,18,0.7
Koch2,A,0.798477,1.0445e-01,9.0091e-02,--,283.8
Koch2,B,0.330296,1.1084e-01,1.1439e-01,--,2246.5
Koch2,C,0.305297,3.7803e-01,6.0078e-01,--,1381.8
Koch2,D,0.054853,8.5247e-03,9.3042e-03,--,561.1
